timestamp_iso,red,N,L,rkk,px1,rho_kx_obj,rho_kx_fin,frac_mayoria,t_cargar_s,t_precompute_s,t_asignar_attrs_s,t_mayoria_s,seed
2025-11-08T00:28:33-03:00,HepTh,8638,24806,+0.238915,0.05,0.00,+0.008713,0.008335,0.634286,0.016593,0.060155,0.053844,12021974
2025-11-08T00:28:33-03:00,HepTh,8638,24806,+0.238915,0.05,0.07,+0.056878,0.013197,0.634286,0.016593,0.187850,0.063590,12021974
2025-11-08T00:28:34-03:00,HepTh,8638,24806,+0.238915,0.05,0.13,+0.123485,0.019102,0.634286,0.016593,0.808905,0.044477,12021974
2025-11-08T00:28:35-03:00,HepTh,8638,24806,+0.238915,0.05,0.20,+0.190174,0.018291,0.634286,0.016593,1.343496,0.048981,12021974
2025-11-08T00:28:38-03:00,HepTh,8638,24806,+0.238915,0.05,0.27,+0.256946,0.025816,0.634286,0.016593,2.304563,0.037937,12021974
2025-11-08T00:28:41-03:00,HepTh,8638,24806,+0.238915,0.05,0.33,+0.323471,0.030910,0.634286,0.016593,3.267931,0.045957,12021974
2025-11-08T00:28:45-03:00,HepTh,8638,24806,+0.238915,0.05,0.40,+0.390572,0.032878,0.634286,0.016593,3.930851,0.054779,12021974
2025-11-08T00:28:51-03:00,HepTh,8638,24806,+0.238915,0.05,0.47,+0.457097,0.037624,0.634286,0.016593,6.384149,0.051956,12021974
2025-11-08T00:28:59-03:00,HepTh,8638,24806,+0.238915,0.05,0.53,+0.523869,0.047465,0.634286,0.016593,7.866753,0.118629,12021974
2025-11-08T00:29:10-03:00,HepTh,8638,24806,+0.238915,0.05,0.60,+0.586195,0.054411,0.634286,0.016593,10.910257,0.061975,12021974
2025-11-08T00:28:33-03:00,HepTh,8638,24806,+0.238915,0.10,0.00,+0.009848,0.023038,0.669638,0.012292,0.021007,0.053816,12021974
2025-11-08T00:28:33-03:00,HepTh,8638,24806,+0.238915,0.10,0.07,+0.056742,0.029984,0.669638,0.012292,0.386292,0.067157,12021974
2025-11-08T00:28:35-03:00,HepTh,8638,24806,+0.238915,0.10,0.13,+0.123375,0.038435,0.669638,0.012292,1.339184,0.082297,12021974
2025-11-08T00:28:36-03:00,HepTh,8638,24806,+0.238915,0.10,0.20,+0.191922,0.045844,0.669638,0.012292,1.278815,0.039859,12021974
2025-11-08T00:28:38-03:00,HepTh,8638,24806,+0.238915,0.10,0.27,+0.257477,0.056031,0.669638,0.012292,2.472839,0.055649,12021974
2025-11-08T00:28:42-03:00,HepTh,8638,24806,+0.238915,0.10,0.33,+0.323751,0.067492,0.669638,0.012292,3.265060,0.051462,12021974
2025-11-08T00:28:46-03:00,HepTh,8638,24806,+0.238915,0.10,0.40,+0.391401,0.075365,0.669638,0.012292,4.310981,0.048655,12021974
2025-11-08T00:28:54-03:00,HepTh,8638,24806,+0.238915,0.10,0.47,+0.457256,0.091919,0.669638,0.012292,7.528856,0.060148,12021974
2025-11-08T00:29:03-03:00,HepTh,8638,24806,+0.238915,0.10,0.53,+0.523350,0.104075,0.669638,0.012292,8.970410,0.061574,12021974
2025-11-08T00:29:14-03:00,HepTh,8638,24806,+0.238915,0.10,0.60,+0.578857,0.129775,0.669638,0.012292,11.254919,0.059163,12021974
2025-11-08T00:28:34-03:00,Reactome,7799,35803,-0.054801,0.05,0.00,-0.009883,0.009232,0.810219,0.013583,0.008348,0.063146,12021974
2025-11-08T00:28:34-03:00,Reactome,7799,35803,-0.054801,0.05,0.07,+0.056723,0.019874,0.810219,0.013583,0.416921,0.090446,12021974
2025-11-08T00:28:36-03:00,Reactome,7799,35803,-0.054801,0.05,0.13,+0.125393,0.024875,0.810219,0.013583,1.328140,0.050773,12021974
2025-11-08T00:28:38-03:00,Reactome,7799,35803,-0.054801,0.05,0.20,+0.192100,0.034107,0.810219,0.013583,2.421058,0.044931,12021974
2025-11-08T00:28:42-03:00,Reactome,7799,35803,-0.054801,0.05,0.27,+0.256919,0.049237,0.810219,0.013583,3.608718,0.061278,12021974
2025-11-08T00:28:50-03:00,Reactome,7799,35803,-0.054801,0.05,0.33,+0.325790,0.075779,0.810219,0.013583,8.614528,0.058224,12021974
2025-11-08T00:28:59-03:00,Reactome,7799,35803,-0.054801,0.05,0.40,+0.390056,0.122836,0.810219,0.013583,8.399032,0.034332,12021974
2025-11-08T00:29:10-03:00,Reactome,7799,35803,-0.054801,0.05,0.47,+0.425938,0.142326,0.810219,0.013583,11.138660,0.072915,12021974
2025-11-08T00:29:23-03:00,Reactome,7799,35803,-0.054801,0.05,0.53,+0.412401,0.140659,0.810219,0.013583,12.935934,0.064150,12021974
2025-11-08T00:29:35-03:00,Reactome,7799,35803,-0.054801,0.05,0.60,+0.417760,0.137454,0.810219,0.013583,11.937746,0.055200,12021974
2025-11-08T00:28:34-03:00,Reactome,7799,35803,-0.054801,0.10,0.00,+0.000539,0.028850,0.801895,0.012551,0.001720,0.051993,12021974
2025-11-08T00:28:35-03:00,Reactome,7799,35803,-0.054801,0.10,0.07,+0.056825,0.037056,0.801895,0.012551,0.735671,0.068910,12021974
2025-11-08T00:28:37-03:00,Reactome,7799,35803,-0.054801,0.10,0.13,+0.126510,0.065521,0.801895,0.012551,1.891320,0.055035,12021974
2025-11-08T00:28:40-03:00,Reactome,7799,35803,-0.054801,0.10,0.20,+0.190254,0.070650,0.801895,0.012551,3.430360,0.059103,12021974
2025-11-08T00:28:44-03:00,Reactome,7799,35803,-0.054801,0.10,0.27,+0.256722,0.132325,0.801895,0.012551,3.939086,0.123889,12021974
2025-11-08T00:28:53-03:00,Reactome,7799,35803,-0.054801,0.10,0.33,+0.326663,0.198359,0.801895,0.012551,8.630223,0.058704,12021974
2025-11-08T00:29:03-03:00,Reactome,7799,35803,-0.054801,0.10,0.40,+0.391540,0.280292,0.801895,0.012551,10.501105,0.103555,12021974
2025-11-08T00:29:15-03:00,Reactome,7799,35803,-0.054801,0.10,0.47,+0.381468,0.256828,0.801895,0.012551,11.135682,0.055307,12021974
2025-11-08T00:29:27-03:00,Reactome,7799,35803,-0.054801,0.10,0.53,+0.377757,0.256315,0.801895,0.012551,12.351287,0.071213,12021974
2025-11-08T00:29:39-03:00,Reactome,7799,35803,-0.054801,0.10,0.60,+0.394374,0.272599,0.801895,0.012551,11.753064,0.083458,12021974
2025-11-08T00:28:33-03:00,HepTh,8638,24806,+0.238915,0.20,0.00,+0.007819,0.068882,0.648141,0.011304,0.001791,0.049102,12021974
2025-11-08T00:28:34-03:00,HepTh,8638,24806,+0.238915,0.20,0.07,+0.057660,0.075828,0.648141,0.011304,0.376215,0.060306,12021974
2025-11-08T00:28:35-03:00,HepTh,8638,24806,+0.238915,0.20,0.13,+0.124772,0.096550,0.648141,0.011304,1.641241,0.074799,12021974
2025-11-08T00:28:38-03:00,HepTh,8638,24806,+0.238915,0.20,0.20,+0.190853,0.120977,0.648141,0.011304,2.884776,0.163169,12021974
2025-11-08T00:28:43-03:00,HepTh,8638,24806,+0.238915,0.20,0.27,+0.256843,0.153160,0.648141,0.011304,4.401252,0.172583,12021974
2025-11-08T00:28:50-03:00,HepTh,8638,24806,+0.238915,0.20,0.33,+0.323372,0.173536,0.648141,0.011304,6.909806,0.042595,12021974
2025-11-08T00:29:00-03:00,HepTh,8638,24806,+0.238915,0.20,0.40,+0.390036,0.210465,0.648141,0.011304,9.979215,0.049226,12021974
2025-11-08T00:29:11-03:00,HepTh,8638,24806,+0.238915,0.20,0.47,+0.456789,0.246353,0.648141,0.011304,11.004931,0.137418,12021974
2025-11-08T00:29:28-03:00,HepTh,8638,24806,+0.238915,0.20,0.53,+0.523452,0.278884,0.648141,0.011304,17.079678,0.051619,12021974
2025-11-08T00:29:45-03:00,HepTh,8638,24806,+0.238915,0.20,0.60,+0.546646,0.299028,0.648141,0.011304,16.819256,0.075054,12021974
2025-11-08T00:28:34-03:00,HepTh,8638,24806,+0.238915,0.30,0.00,-0.009998,0.137763,0.628660,0.014912,0.102616,0.064848,12021974
2025-11-08T00:28:35-03:00,HepTh,8638,24806,+0.238915,0.30,0.07,+0.056775,0.174114,0.628660,0.014912,0.986652,0.054627,12021974
2025-11-08T00:28:37-03:00,HepTh,8638,24806,+0.238915,0.30,0.13,+0.123587,0.200509,0.628660,0.014912,1.832682,0.087459,12021974
2025-11-08T00:28:40-03:00,HepTh,8638,24806,+0.238915,0.30,0.20,+0.190869,0.243459,0.628660,0.014912,3.184367,0.062250,12021974
2025-11-08T00:28:45-03:00,HepTh,8638,24806,+0.238915,0.30,0.27,+0.256859,0.283978,0.628660,0.014912,5.150007,0.050155,12021974
2025-11-08T00:28:53-03:00,HepTh,8638,24806,+0.238915,0.30,0.33,+0.323436,0.336536,0.628660,0.014912,8.007719,0.093750,12021974
2025-11-08T00:29:02-03:00,HepTh,8638,24806,+0.238915,0.30,0.40,+0.390013,0.374392,0.628660,0.014912,8.994150,0.052277,12021974
2025-11-08T00:29:14-03:00,HepTh,8638,24806,+0.238915,0.30,0.47,+0.456825,0.442579,0.628660,0.014912,11.983733,0.052590,12021974
2025-11-08T00:29:35-03:00,HepTh,8638,24806,+0.238915,0.30,0.53,+0.491915,0.457745,0.628660,0.014912,20.669296,0.055352,12021974
2025-11-08T00:29:53-03:00,HepTh,8638,24806,+0.238915,0.30,0.60,+0.516588,0.474300,0.628660,0.014912,17.809606,0.109406,12021974
2025-11-08T00:28:34-03:00,Reactome,7799,35803,-0.054801,0.30,0.00,-0.005787,0.142839,0.839749,0.012768,0.003367,0.054749,12021974
2025-11-08T00:28:35-03:00,Reactome,7799,35803,-0.054801,0.30,0.07,+0.056816,0.196179,0.839749,0.012768,1.181523,0.058207,12021974
2025-11-08T00:28:38-03:00,Reactome,7799,35803,-0.054801,0.30,0.13,+0.123392,0.312348,0.839749,0.012768,2.838104,0.048691,12021974
2025-11-08T00:28:43-03:00,Reactome,7799,35803,-0.054801,0.30,0.20,+0.190578,0.445570,0.839749,0.012768,5.161408,0.057697,12021974
2025-11-08T00:28:53-03:00,Reactome,7799,35803,-0.054801,0.30,0.27,+0.256699,0.529427,0.839749,0.012768,9.855212,0.053082,12021974
2025-11-08T00:29:05-03:00,Reactome,7799,35803,-0.054801,0.30,0.33,+0.312995,0.615720,0.839749,0.012768,11.458470,0.077468,12021974
2025-11-08T00:29:16-03:00,Reactome,7799,35803,-0.054801,0.30,0.40,+0.307442,0.620336,0.839749,0.012768,11.104076,0.075687,12021974
2025-11-08T00:29:29-03:00,Reactome,7799,35803,-0.054801,0.30,0.47,+0.311068,0.618541,0.839749,0.012768,13.443946,0.131226,12021974
2025-11-08T00:29:42-03:00,Reactome,7799,35803,-0.054801,0.30,0.53,+0.312588,0.612002,0.839749,0.012768,12.071200,0.049952,12021974
2025-11-08T00:29:56-03:00,Reactome,7799,35803,-0.054801,0.30,0.60,+0.304940,0.594692,0.839749,0.012768,14.333161,0.058643,12021974
2025-11-08T00:28:34-03:00,Reactome,7799,35803,-0.054801,0.20,0.00,-0.009872,0.064111,0.953022,0.015521,0.036139,0.111039,12021974
2025-11-08T00:28:36-03:00,Reactome,7799,35803,-0.054801,0.20,0.07,+0.056953,0.100013,0.953022,0.015521,1.826623,0.057601,12021974
2025-11-08T00:28:39-03:00,Reactome,7799,35803,-0.054801,0.20,0.13,+0.124038,0.146429,0.953022,0.015521,2.439034,0.063222,12021974
2025-11-08T00:28:45-03:00,Reactome,7799,35803,-0.054801,0.20,0.20,+0.190082,0.227850,0.953022,0.015521,6.320042,0.096470,12021974
2025-11-08T00:28:56-03:00,Reactome,7799,35803,-0.054801,0.20,0.27,+0.257071,0.336325,0.953022,0.015521,11.267579,0.059832,12021974
2025-11-08T00:29:10-03:00,Reactome,7799,35803,-0.054801,0.20,0.33,+0.323334,0.448775,0.953022,0.015521,13.360606,0.050791,12021974
