timestamp_iso,red,N,L,rkk,px1,rho_kx_obj,rho_kx_fin,frac_mayoria,t_cargar_s,t_precompute_s,t_asignar_attrs_s,t_mayoria_s,seed
2025-11-07T15:20:25-03:00,Enron,21799,25079,-0.210937,0.10,0.00,-0.003468,0.033625,1.378394,0.010820,0.001250,0.031013,12021974
2025-11-07T15:20:29-03:00,Enron,21799,25079,-0.210937,0.10,0.07,+0.014428,0.167164,1.378394,0.010820,3.347935,0.041966,12021974
2025-11-07T15:20:33-03:00,Enron,21799,25079,-0.210937,0.10,0.13,+0.043992,0.589339,1.378394,0.010820,3.963597,0.032662,12021974
2025-11-07T15:20:37-03:00,Enron,21799,25079,-0.210937,0.10,0.20,+0.033933,0.453415,1.378394,0.010820,3.644206,0.037716,12021974
2025-11-07T15:20:40-03:00,Enron,21799,25079,-0.210937,0.10,0.27,+0.042278,0.568650,1.378394,0.010820,3.429894,0.031374,12021974
2025-11-07T15:20:44-03:00,Enron,21799,25079,-0.210937,0.10,0.33,+0.014100,0.155833,1.378394,0.010820,3.638835,0.032359,12021974
2025-11-07T15:20:47-03:00,Enron,21799,25079,-0.210937,0.10,0.40,+0.036288,0.480664,1.378394,0.010820,3.566256,0.031162,12021974
2025-11-07T15:20:51-03:00,Enron,21799,25079,-0.210937,0.10,0.47,+0.021875,0.275104,1.378394,0.010820,3.637234,0.034544,12021974
2025-11-07T15:20:55-03:00,Enron,21799,25079,-0.210937,0.10,0.53,+0.034974,0.464930,1.378394,0.010820,3.870787,0.035658,12021974
2025-11-07T15:20:59-03:00,Enron,21799,25079,-0.210937,0.10,0.60,+0.036003,0.481352,1.378394,0.010820,4.453122,0.051479,12021974
2025-11-07T15:20:26-03:00,Enron,21799,25079,-0.210937,0.30,0.00,-0.005348,0.136291,1.216027,0.010259,0.001333,0.036470,12021974
2025-11-07T15:20:29-03:00,Enron,21799,25079,-0.210937,0.30,0.07,+0.011839,0.417404,1.216027,0.010259,3.600430,0.030446,12021974
2025-11-07T15:20:33-03:00,Enron,21799,25079,-0.210937,0.30,0.13,+0.018293,0.574201,1.216027,0.010259,3.701694,0.043424,12021974
2025-11-07T15:20:37-03:00,Enron,21799,25079,-0.210937,0.30,0.20,+0.025152,0.713152,1.216027,0.010259,3.670622,0.033998,12021974
2025-11-07T15:20:40-03:00,Enron,21799,25079,-0.210937,0.30,0.27,+0.019853,0.606083,1.216027,0.010259,3.412234,0.039992,12021974
2025-11-07T15:20:44-03:00,Enron,21799,25079,-0.210937,0.30,0.33,+0.005885,0.286665,1.216027,0.010259,3.639363,0.039316,12021974
2025-11-07T15:20:48-03:00,Enron,21799,25079,-0.210937,0.30,0.40,+0.025742,0.722694,1.216027,0.010259,3.609176,0.039253,12021974
2025-11-07T15:20:51-03:00,Enron,21799,25079,-0.210937,0.30,0.47,+0.019421,0.593192,1.216027,0.010259,3.566058,0.040870,12021974
2025-11-07T15:20:55-03:00,Enron,21799,25079,-0.210937,0.30,0.53,+0.019007,0.586816,1.216027,0.010259,3.749542,0.047659,12021974
2025-11-07T15:20:59-03:00,Enron,21799,25079,-0.210937,0.30,0.60,+0.011172,0.415340,1.216027,0.010259,4.305010,0.057288,12021974
2025-11-07T15:20:25-03:00,Enron,21799,25079,-0.210937,0.05,0.00,-0.001890,0.017065,1.439204,0.012837,0.002233,0.041584,12021974
2025-11-07T15:20:29-03:00,Enron,21799,25079,-0.210937,0.05,0.07,+0.018709,0.127116,1.439204,0.012837,3.469188,0.040769,12021974
2025-11-07T15:20:33-03:00,Enron,21799,25079,-0.210937,0.05,0.13,+0.031203,0.240011,1.439204,0.012837,4.047771,0.039408,12021974
2025-11-07T15:20:37-03:00,Enron,21799,25079,-0.210937,0.05,0.20,+0.020360,0.136245,1.439204,0.012837,3.492404,0.035943,12021974
2025-11-07T15:20:40-03:00,Enron,21799,25079,-0.210937,0.05,0.27,+0.016994,0.113079,1.439204,0.012837,3.559700,0.046732,12021974
2025-11-07T15:20:44-03:00,Enron,21799,25079,-0.210937,0.05,0.33,+0.017527,0.108904,1.439204,0.012837,3.619044,0.036325,12021974
2025-11-07T15:20:47-03:00,Enron,21799,25079,-0.210937,0.05,0.40,+0.029168,0.224552,1.439204,0.012837,3.554617,0.036371,12021974
2025-11-07T15:20:51-03:00,Enron,21799,25079,-0.210937,0.05,0.47,+0.047450,0.420386,1.439204,0.012837,3.621960,0.038365,12021974
2025-11-07T15:20:55-03:00,Enron,21799,25079,-0.210937,0.05,0.53,+0.048337,0.438415,1.439204,0.012837,4.037367,0.041559,12021974
2025-11-07T15:20:59-03:00,Enron,21799,25079,-0.210937,0.05,0.60,+0.031830,0.246158,1.439204,0.012837,4.195320,0.032233,12021974
2025-11-07T15:20:26-03:00,Enron,21799,25079,-0.210937,0.20,0.00,-0.000902,0.173907,1.295305,0.011277,0.691379,0.037660,12021974
2025-11-07T15:20:30-03:00,Enron,21799,25079,-0.210937,0.20,0.07,+0.024545,0.530345,1.295305,0.011277,3.737105,0.028246,12021974
2025-11-07T15:20:34-03:00,Enron,21799,25079,-0.210937,0.20,0.13,+0.016525,0.357998,1.295305,0.011277,3.828777,0.031249,12021974
2025-11-07T15:20:37-03:00,Enron,21799,25079,-0.210937,0.20,0.20,+0.008664,0.219827,1.295305,0.011277,3.542574,0.038023,12021974
2025-11-07T15:20:41-03:00,Enron,21799,25079,-0.210937,0.20,0.27,+0.023988,0.518372,1.295305,0.011277,3.674524,0.034763,12021974
2025-11-07T15:20:45-03:00,Enron,21799,25079,-0.210937,0.20,0.33,+0.023895,0.519198,1.295305,0.011277,3.479418,0.033839,12021974
2025-11-07T15:20:48-03:00,Enron,21799,25079,-0.210937,0.20,0.40,+0.033059,0.677371,1.295305,0.011277,3.662917,0.035543,12021974
2025-11-07T15:20:52-03:00,Enron,21799,25079,-0.210937,0.20,0.47,+0.014577,0.335474,1.295305,0.011277,3.599789,0.038177,12021974
