alpha,r_kk,rho_kx,frac_majority_illusion
2.1,-0.35,0.0,0.0265
2.1,-0.35,0.06666666666666667,0.057
2.1,-0.35,0.13333333333333333,0.1085
2.1,-0.35,0.2,0.1225
2.1,-0.35,0.26666666666666666,0.154
2.1,-0.35,0.3333333333333333,0.194
2.1,-0.35,0.4,0.2255
2.1,-0.35,0.4666666666666667,0.2665
2.1,-0.35,0.5333333333333333,0.2995
2.1,-0.35,0.6,0.3405
2.1,-0.25,0.0,0.0325
2.1,-0.25,0.06666666666666667,0.057
2.1,-0.25,0.13333333333333333,0.08
2.1,-0.25,0.2,0.112
2.1,-0.25,0.26666666666666666,0.1475
2.1,-0.25,0.3333333333333333,0.1775
2.1,-0.25,0.4,0.1945
2.1,-0.25,0.4666666666666667,0.2285
2.1,-0.25,0.5333333333333333,0.2585
2.1,-0.25,0.6,0.2935
2.1,-0.15,0.0,0.031
2.1,-0.15,0.06666666666666667,0.0565
2.1,-0.15,0.13333333333333333,0.0725
2.1,-0.15,0.2,0.105
2.1,-0.15,0.26666666666666666,0.1255
2.1,-0.15,0.3333333333333333,0.152
2.1,-0.15,0.4,0.1745
2.1,-0.15,0.4666666666666667,0.204
2.1,-0.15,0.5333333333333333,0.2375
2.1,-0.15,0.6,0.2375
2.1,-0.05,0.0,0.0415
2.1,-0.05,0.06666666666666667,0.0475
2.1,-0.05,0.13333333333333333,0.066
2.1,-0.05,0.2,0.0935
2.1,-0.05,0.26666666666666666,0.1155
2.1,-0.05,0.3333333333333333,0.1255
2.1,-0.05,0.4,0.1535
2.1,-0.05,0.4666666666666667,0.169
2.1,-0.05,0.5333333333333333,0.194
2.1,-0.05,0.6,0.211
2.4,-0.2,0.0,0.038
2.4,-0.2,0.06666666666666667,0.0645
2.4,-0.2,0.13333333333333333,0.086
2.4,-0.2,0.2,0.118
2.4,-0.2,0.26666666666666666,0.1335
2.4,-0.2,0.3333333333333333,0.1665
2.4,-0.2,0.4,0.177
2.4,-0.2,0.4666666666666667,0.208
2.4,-0.2,0.5333333333333333,0.2385
2.4,-0.2,0.6,0.2595
2.4,-0.1,0.0,0.0375
2.4,-0.1,0.06666666666666667,0.0555
2.4,-0.1,0.13333333333333333,0.075
2.4,-0.1,0.2,0.091
2.4,-0.1,0.26666666666666666,0.118
2.4,-0.1,0.3333333333333333,0.1345
2.4,-0.1,0.4,0.156
2.4,-0.1,0.4666666666666667,0.178
2.4,-0.1,0.5333333333333333,0.194
2.4,-0.1,0.6,0.2155
2.4,0.0,0.0,0.0355
2.4,0.0,0.06666666666666667,0.049
2.4,0.0,0.13333333333333333,0.071
2.4,0.0,0.2,0.085
2.4,0.0,0.26666666666666666,0.102
2.4,0.0,0.3333333333333333,0.1225
2.4,0.0,0.4,0.1375
2.4,0.0,0.4666666666666667,0.1535
2.4,0.0,0.5333333333333333,0.1795
2.4,0.0,0.6,0.1985
2.4,0.1,0.0,0.035
2.4,0.1,0.06666666666666667,0.0495
2.4,0.1,0.13333333333333333,0.058
2.4,0.1,0.2,0.077
2.4,0.1,0.26666666666666666,0.0975
2.4,0.1,0.3333333333333333,0.099
2.4,0.1,0.4,0.125
2.4,0.1,0.4666666666666667,0.1385
2.4,0.1,0.5333333333333333,0.1605
2.4,0.1,0.6,0.1755
2.4,0.2,0.0,0.0385
2.4,0.2,0.06666666666666667,0.052
2.4,0.2,0.13333333333333333,0.051
2.4,0.2,0.2,0.065
2.4,0.2,0.26666666666666666,0.082
2.4,0.2,0.3333333333333333,0.0915
2.4,0.2,0.4,0.101
2.4,0.2,0.4666666666666667,0.1135
2.4,0.2,0.5333333333333333,0.12
2.4,0.2,0.6,0.1335
3.1,-0.15,0.0,0.042
3.1,-0.15,0.06666666666666667,0.0535
3.1,-0.15,0.13333333333333333,0.0655
3.1,-0.15,0.2,0.075
3.1,-0.15,0.26666666666666666,0.079
3.1,-0.15,0.3333333333333333,0.086
3.1,-0.15,0.4,0.08
3.1,-0.15,0.4666666666666667,0.0835
3.1,-0.15,0.5333333333333333,0.0955
3.1,-0.15,0.6,0.091
3.1,-0.05,0.0,0.0405
3.1,-0.05,0.06666666666666667,0.0535
3.1,-0.05,0.13333333333333333,0.064
3.1,-0.05,0.2,0.071
3.1,-0.05,0.26666666666666666,0.0775
3.1,-0.05,0.3333333333333333,0.0795
3.1,-0.05,0.4,0.0795
3.1,-0.05,0.4666666666666667,0.073
3.1,-0.05,0.5333333333333333,0.0845
3.1,-0.05,0.6,0.074
3.1,0.0,0.0,0.049
3.1,0.0,0.06666666666666667,0.0545
3.1,0.0,0.13333333333333333,0.062
3.1,0.0,0.2,0.0675
3.1,0.0,0.26666666666666666,0.078
3.1,0.0,0.3333333333333333,0.079
3.1,0.0,0.4,0.0935
3.1,0.0,0.4666666666666667,0.0785
3.1,0.0,0.5333333333333333,0.076
3.1,0.0,0.6,0.0765
3.1,0.3,0.0,0.046
3.1,0.3,0.06666666666666667,0.0465
3.1,0.3,0.13333333333333333,0.0455
3.1,0.3,0.2,0.048
3.1,0.3,0.26666666666666666,0.053
3.1,0.3,0.3333333333333333,0.0535
3.1,0.3,0.4,0.0585
3.1,0.3,0.4666666666666667,0.0635
3.1,0.3,0.5333333333333333,0.057
3.1,0.3,0.6,0.0515
