Country,City,N,L,r_T,C_G,Efficiency,Clustering,Alg_Conn,Avg_Deg,Meshedness,Rel_G,Nat_Conn,Kappa,Inv_Kappa,f90_Targeted,f90_Random,fc_Targeted,fc_Random
Netherlands,Amsterdam,9,10,0.12206803207423442,0.13333333333333322,0.5694444444444445,0.09259259259259259,0.045737334368321676,0.2777777777777778,0.15384615384615385,1.0,0.15566800094694044,2.8,0.35714285714285715,0.111,0.111,0.556,0.722
Greece,Athens,10,10,0.06931471805599453,0.09278350515463916,0.5222222222222224,0.06666666666666667,0.026794919243112253,0.2222222222222222,0.06666666666666667,0.97,0.1264169740638457,2.8,0.35714285714285715,0.1,0.14,0.3,0.7
Usa,Atlanta,9,8,0.0,0.0952380952380952,0.5277777777777778,0.0,0.029772132492346948,0.2222222222222222,0.0,0.99,0.11832668972640299,2.5000000000000004,0.39999999999999997,0.111,0.111,0.333,0.756
Usa,Baltimore,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3319278376496051,1.0,1.0,0.5,0.5,0.5,0.5
Germany,Berlin,35,47,0.07540163798900738,0.028243811016814665,0.34409363745498056,0.06857142857142857,0.004078175872009759,0.07899159663865546,0.2,0.98,0.04126431066395517,3.5531914893617023,0.281437125748503,0.057,0.094,0.543,0.877
Spain,Bilbao,4,3,0.0,0.3333333333333333,0.75,0.0,0.25,0.5,0.0,0.99,0.2569379655933615,2.0,0.5,0.25,0.25,0.25,0.45
Usa,Boston,10,9,0.0,0.08333333333333333,0.5111111111111113,0.0,0.023702376442960752,0.2,0.0,0.99,0.10739352727503358,2.6666666666666665,0.375,0.1,0.19,0.3,0.75
Belgium,Brussels,9,10,0.12206803207423442,0.11678832116788346,0.5578703703703705,0.18518518518518517,0.034808108773677265,0.2777777777777778,0.15384615384615385,0.99,0.16509865170321417,2.8,0.35714285714285715,0.111,0.111,0.556,0.722
Hungary,Budapest,10,10,0.06931471805599453,0.10756972111553789,0.5592592592592595,0.056666666666666664,0.0471716386796371,0.2222222222222222,0.06666666666666667,0.97,0.1346368643015392,3.4,0.29411764705882354,0.1,0.19,0.3,0.79
Argentina,Buenosaires,16,20,0.11198496682675343,0.06866952789699565,0.4686111111111107,0.09375,0.018910661230020567,0.16666666666666666,0.18518518518518517,0.99,0.09573569738976329,3.4,0.29411764705882354,0.062,0.112,0.5,0.812
Egypt,Cairo,8,8,0.08664339756999316,0.14285714285714285,0.5952380952380951,0.08333333333333333,0.06881378215210274,0.2857142857142857,0.09090909090909091,1.0,0.16830747249778522,2.875,0.34782608695652173,0.125,0.125,0.375,0.575
Usa,Chicago,24,29,0.08107958954397139,0.02896993978283122,0.35962732919254564,0.09722222222222221,0.004215590974998138,0.10507246376811594,0.13953488372093023,0.98,0.05878401133059242,3.2758620689655173,0.3052631578947368,0.042,0.079,0.542,0.812
Usa,Cleveland,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3319278376496051,1.0,1.0,0.5,0.5,0.5,0.5
Denmark,Copenhagen,8,8,0.08664339756999316,0.12426035502958581,0.5654761904761904,0.125,0.03830934972151589,0.2857142857142857,0.09090909090909091,0.98,0.16089240115153355,2.5,0.4,0.125,0.125,0.5,0.738
Uae,Dubai,8,7,0.0,0.10769230769230771,0.5416666666666665,0.0,0.033493649053890344,0.25,0.0,1.0,0.1311731509522733,2.2857142857142856,0.4375,0.125,0.125,0.375,0.675
Italy,Genoa,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3319278376496051,1.0,1.0,0.5,0.5,0.5,0.5
Finland,Helsinki,4,3,0.0,0.3333333333333333,0.75,0.0,0.24999999999999994,0.5,0.0,0.99,0.25693796559336163,2.0,0.5,0.25,0.25,0.25,0.575
India,Hyderabad,7,7,0.09902102579427789,0.17307692307692304,0.6269841269841269,0.11904761904761904,0.08694537419558558,0.3333333333333333,0.1111111111111111,1.0,0.19549462425972397,2.7142857142857144,0.3684210526315789,0.143,0.143,0.429,0.643
Japan,Kobe,4,3,0.0,0.3333333333333333,0.75,0.0,0.25,0.5,0.0,1.0,0.2569379655933615,2.0,0.5,0.25,0.25,0.25,0.575
India,Kochi,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3319278376496051,1.0,1.0,0.5,0.5,0.5,0.5
France,Lille,6,5,0.0,0.17241379310344823,0.6222222222222222,0.0,0.07307453119852823,0.33333333333333337,0.0,0.98,0.17650476507412144,2.1999999999999997,0.4545454545454546,0.167,0.167,0.333,0.683
Portugal,Lisbon,13,15,0.10663802777845312,0.08317929759704251,0.502136752136752,0.08974358974358973,0.029863194373223195,0.1923076923076923,0.14285714285714285,1.0,0.11064345524061417,3.2000000000000006,0.31249999999999994,0.154,0.131,0.462,0.769
Uk,London,68,102,0.0526988079184722,0.01143926591461587,0.25638619988927336,0.1661764705882353,0.0008186432478139766,0.04477611940298507,0.26717557251908397,0.97,0.02345108333788147,3.6960784313725488,0.27055702917771884,0.103,0.065,0.721,0.897
Usa,Losangeles,4,3,0.0,0.3333333333333333,0.75,0.0,0.24999999999999994,0.5,0.0,1.0,0.25693796559336163,2.0,0.5,0.25,0.25,0.25,0.65
France,Lyon,10,10,0.06931471805599453,0.10619469026548671,0.5333333333333337,0.0,0.048460597549235096,0.2222222222222222,0.06666666666666667,1.0,0.11980077433333867,2.8,0.35714285714285715,0.1,0.14,0.4,0.77
Spain,Madrid,47,82,0.07682804069455797,0.02808711061753611,0.3361929724094399,0.1508611955420466,0.0037554459518684925,0.07585568917668825,0.4044943820224719,0.97,0.04116850030955988,4.2560975609756095,0.2349570200573066,0.106,0.089,0.745,0.93
Spain,Malaga,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3319278376496051,1.0,1.0,0.5,0.5,0.5,0.5
France,Marseille,6,5,0.0,0.17241379310344823,0.6222222222222222,0.0,0.07307453119852823,0.33333333333333337,0.0,0.99,0.17650476507412144,2.1999999999999997,0.4545454545454546,0.167,0.167,0.333,0.65
Italy,Milan,21,24,0.07663990059210002,0.03830888697152712,0.3935714285714279,0.047619047619047616,0.0076866366080442046,0.11428571428571428,0.10810810810810811,0.98,0.06179670216272605,3.1250000000000004,0.31999999999999995,0.048,0.09,0.476,0.819
Canada,Montreal,10,10,0.06931471805599453,0.10619469026548677,0.5333333333333335,0.0,0.048460597549235145,0.2222222222222222,0.06666666666666667,1.0,0.11980077433333876,2.8,0.35714285714285715,0.1,0.16,0.4,0.69
Italy,Naples,4,3,0.0,0.3333333333333333,0.75,0.0,0.24999999999999994,0.5,0.0,1.0,0.25693796559336163,2.0,0.5,0.25,0.25,0.25,0.7
Usa,Newyork,105,176,0.04086151848712753,0.008291186428855294,0.23415668936273146,0.22414210128495843,0.0004901751162430185,0.03223443223443224,0.35121951219512193,0.98,0.017476089379099027,4.267045454545455,0.23435419440745672,0.048,0.081,0.771,0.933
Germany,Nuremberg,10,9,0.0,0.0743801652892562,0.4844444444444448,0.0,0.017917772411779376,0.2,0.0,0.99,0.10346183359687243,2.3333333333333335,0.42857142857142855,0.1,0.16,0.4,0.7
Norway,Oslo,17,18,0.06462425227459469,0.04186915887850469,0.4036764705882355,0.058823529411764705,0.007388434762998946,0.1323529411764706,0.06896551724137931,0.98,0.06794888601284388,2.666666666666667,0.375,0.059,0.094,0.471,0.806
France,Paris,84,136,0.04748790531624136,0.011997852106898275,0.2537187377548834,0.1604875283446712,0.0010205911502037645,0.03901319563970167,0.32515337423312884,1.0,0.020305043852179894,4.095588235294118,0.24416517055655296,0.071,0.08,0.702,0.912
Usa,Philadelphia,9,10,0.12206803207423442,0.13455657492354736,0.5717592592592594,0.1111111111111111,0.05004000505800142,0.2777777777777778,0.15384615384615385,1.0,0.1551481244819746,2.8,0.35714285714285715,0.111,0.111,0.556,0.733
France,Rennes,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3319278376496051,1.0,1.0,0.5,0.5,0.5,0.5
Czech,Republic-Prague,9,9,0.07701635339554948,0.12121212121212122,0.5694444444444448,0.05555555555555555,0.06116780635742463,0.25,0.07692307692307693,0.99,0.14752653988179193,3.0,0.3333333333333333,0.111,0.111,0.333,0.811
Italy,Rome,9,8,0.0,0.0952380952380952,0.5277777777777778,0.0,0.02977213249234696,0.2222222222222222,0.0,1.0,0.11832668972640308,2.5000000000000004,0.39999999999999997,0.111,0.111,0.333,0.778
Netherlands,Rotterdam,11,11,0.06301338005090412,0.07389162561576335,0.4872727272727277,0.07575757575757575,0.016891513440767416,0.2,0.058823529411764705,0.99,0.1102453134801125,2.6363636363636362,0.37931034482758624,0.091,0.155,0.455,0.764
Usa,Sanfrancisco,12,12,0.057762265046662105,0.05967450271247752,0.45101010101010125,0.08333333333333333,0.011870852254549738,0.18181818181818182,0.05263157894736842,0.99,0.09738406311620276,2.5,0.4,0.083,0.133,0.417,0.725
Chile,Santiago,66,114,0.059273075839820395,0.013755527280853901,0.2573041947692317,0.39090909090909093,0.0008742644026877096,0.05314685314685315,0.3858267716535433,1.0,0.028007271841409317,3.833333333333333,0.2608695652173913,0.061,0.089,0.879,0.929
Sweden,Stockholm,19,18,0.0,0.029032258064516172,0.3647451963241439,0.0,0.004737376052829721,0.10526315789473684,0.0,0.99,0.05239441588343767,2.5,0.4,0.053,0.068,0.421,0.768
Canada,Toronto,8,7,0.0,0.1076923076923077,0.5416666666666664,0.0,0.03349364905389036,0.25,0.0,1.0,0.13117315095227328,2.2857142857142856,0.4375,0.125,0.125,0.375,0.65
France,Toulouse,5,4,0.0,0.25,0.7,0.0,0.19999999999999993,0.4,0.0,1.0,0.21950863022665287,2.5,0.4,0.2,0.2,0.2,0.46
Italy,Turin,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3319278376496051,1.0,1.0,0.5,0.5,0.5,0.5
Spain,Valencia,15,15,0.046209812037329684,0.046052631578947366,0.41746031746031775,0.05555555555555555,0.012522146551787334,0.14285714285714285,0.04,0.98,0.07563401358631597,2.6,0.3846153846153846,0.067,0.107,0.467,0.86
Canada,Vancouver,11,11,0.06301338005090412,0.07389162561576351,0.48727272727272763,0.07575757575757575,0.0168915134407675,0.2,0.058823529411764705,1.0,0.11024531348011235,2.6363636363636362,0.37931034482758624,0.091,0.127,0.455,0.745
Austria,Vienna,19,25,0.10944429166735978,0.058130334030407516,0.4425925925925927,0.09824561403508772,0.016487995764415606,0.14619883040935674,0.21212121212121213,0.99,0.0840342411460236,3.5599999999999996,0.2808988764044944,0.053,0.095,0.526,0.837
Poland,Warsaw,5,4,0.0,0.25,0.7,0.0,0.19999999999999993,0.4,0.0,1.0,0.21950863022665287,2.5,0.4,0.2,0.2,0.2,0.52
Usa,Washington,19,20,0.057821699403584725,0.0366938472942921,0.38898635477582827,0.031578947368421054,0.008591532707490223,0.11695906432748537,0.06060606060606061,0.98,0.061837545377844166,2.85,0.3508771929824561,0.053,0.089,0.474,0.816
